HP:0000002|Abnormality of body height|身高异常|偏离年龄和性别标准的身高正常值范围。
HP:0000759|Abnormal peripheral nervous system morphology|周围神经系统形态异常|周围神经系统结构异常，周围神经系统由从中枢神经系统发出或分支的神经组成，包括脑神经（嗅神经和视神经在技术上属于中枢神经系统的一部分）。
HP:0000762|Decreased nerve conduction velocity|神经传导速度降低|神经轴突电信号传导速度降低。
HP:0000763|Sensory neuropathy|感觉神经病变|周围神经病变累及感觉神经。
HP:0000764|Peripheral axonal degeneration|周围神经轴突变性|周围神经轴突进行性退化。
HP:0000765|Abnormal thorax morphology|胸廓形态异常|胸廓异常（由胸骨、胸椎和肋骨构成的身体区域）。
HP:0000766|Abnormal sternum morphology|胸骨形态异常|胸骨异常，亦称胸骨畸形。
HP:0000767|Pectus excavatum|漏斗胸|胸壁缺陷，其特征为胸骨凹陷，导致胸部呈现凹陷状（漏斗胸）。
HP:0000768|Pectus carinatum|鸡胸|胸廓畸形，由肋骨过度生长引起，特征为胸骨前突。
HP:0000769|Abnormality of the breast|乳腺异常|乳腺异常。
HP:0000771|Gynecomastia|男性乳房发育症|男性乳腺发育异常导致乳房增大。
HP:0000772|Abnormal rib morphology|肋骨形态异常|肋骨异常。
HP:0000773|Short ribs|短肋骨|肋骨长度缩短。
HP:0000774|Narrow chest|胸廓狭窄|胸廓横径减小，伴胸骨切迹至肩峰距离缩短。
HP:0000775|Abnormality of the diaphragm|膈肌异常|膈肌异常，即分隔胸腔与腹腔的骨骼肌片层出现任何异常。
HP:0000776|Congenital diaphragmatic hernia|先天性膈疝|先天性膈疝（Congenital Diaphragmatic Hernia, CDH）
HP:0000777|Abnormal thymus morphology|胸腺形态异常|胸腺异常，胸腺位于胸腔前上纵隔，紧贴胸骨后方，其主要功能是为T淋巴细胞成熟提供微环境。
HP:0000778|Hypoplasia of the thymus|胸腺发育不全|胸腺发育不全。
HP:0000782|Abnormal scapula morphology|肩胛骨形态异常|肩胛骨异常，亦称肩胛骨畸形。
HP:0000786|Primary amenorrhea|原发性闭经|-
HP:0000787|Nephrolithiasis|肾结石症|肾结石症（Nephrolithiasis）
HP:0000789|Infertility|不孕症|-
HP:0000790|Hematuria|血尿|尿液中出现血液。血尿可分为肉眼血尿（肉眼可见）和镜下血尿（通过试纸或尿液显微镜检查检测到）。
HP:0000791|Uric acid nephrolithiasis|尿酸肾结石症|肾脏内存在含尿酸结石。
HP:0000793|Membranoproliferative glomerulonephritis|膜增生性肾小球肾炎|一种以弥漫性系膜细胞增殖和由于系膜内皮下延伸导致的毛细血管壁增厚为特征的肾小球肾炎。术语“膜增生性肾小球肾炎”通常用于描述在多种疾病过程中观察到的具有共同发病机制的肾小球损伤的一般模式，而非描述单一疾病实体。
HP:0000794|IgA deposition in the glomerulus|肾小球IgA沉积|肾小球内免疫球蛋白A沉积。
HP:0000795|Abnormality of the urethra|尿道异常|尿道异常，即连接膀胱与体外的管道结构异常。
HP:0000796|Urethral obstruction|尿道梗阻|尿道梗阻（Urethral Obstruction）
HP:0000798|Oligozoospermia|少精子症|精液中精子数量减少，定义为每毫升精液中精子计数低于2000万。
HP:0000799|Renal steatosis|肾脂肪变性|肾内异常脂肪蓄积。
HP:0000800|Cystic renal dysplasia|囊性肾发育不良|-
HP:0000802|Impotence|勃起功能障碍 (Erectile Dysfunction, ED)|勃起功能障碍（Erectile Dysfunction, ED）
HP:0000803|Renal cortical cysts|肾皮质囊肿|肾皮质囊肿。
HP:0000804|Xanthine nephrolithiasis|黄嘌呤肾结石病|肾脏内存在含黄嘌呤的结石（肾结石）。
HP:0000805|Enuresis|遗尿症|膀胱控制功能障碍导致的非自主性排尿，发生于本应具备膀胱控制能力的年龄段。
HP:0000807|Glandular hypospadias|尿道下裂（腺体型）|-
HP:0000808|Penoscrotal hypospadias|阴茎阴囊型尿道下裂|一种严重的尿道下裂类型，尿道开口位于阴茎与阴囊交界处。
HP:0000809|Urinary tract atresia|尿道闭锁|先天性泌尿系统结构正常开口缺失。
HP:0000811|Abnormal external genitalia morphology|外生殖器形态异常|外生殖器结构异常
HP:0000812|Abnormal internal genitalia|异常内生殖器|附件、子宫和阴道（女性）或精道和前列腺（男性）的异常。
HP:0000813|Bicornuate uterus|双角子宫|双角子宫的存在。
HP:0000815|Hypergonadotropic hypogonadism|高促性腺激素性性腺功能减退症|性腺功能减退（男性为睾丸，女性为卵巢）与垂体促性腺激素分泌过多相关，导致性发育迟缓和生长迟缓。
HP:0000816|Abnormality of Krebs cycle metabolism|三羧酸循环代谢异常|三羧酸循环异常。
HP:0000817|Reduced eye contact|眼神接触减少|眼接触频率或持续时间减少。
HP:0000818|Abnormality of the endocrine system|内分泌系统异常|内分泌系统异常。
HP:0000819|Diabetes mellitus|糖尿病|一组以高血糖症和葡萄糖耐量异常为特征的病理状态。
HP:0000820|Abnormality of the thyroid gland|甲状腺异常|甲状腺异常。
HP:0000821|Hypothyroidism|甲状腺功能减退症|甲状腺激素缺乏症
HP:0000822|Hypertension|高血压|系统性动脉系统内存在慢性压力增高。
HP:0000823|Delayed puberty|青春期延迟|超过正常青春期年龄，但未出现青春期开始的生理或激素体征。
HP:0000824|Decreased response to growth hormone stimulation test|生长激素刺激试验反应降低|生长激素（GH）激发试验反应不足。生长激素缺乏症定义为在至少两种独立的刺激试验联合激发下，血清峰值GH浓度低于10 ng/mL。
HP:0000825|Hyperinsulinemic hypoglycemia|高胰岛素性低血糖症|血液中胰岛素浓度升高伴随葡萄糖浓度降低。
HP:0000826|Precocious puberty|性早熟|性早熟（Precocious Puberty）是指在正常年龄之前出现第二性征的发育。由于正常儿童青春期开始的年龄存在显著差异，因此难以界定正常年龄范围，但性早熟可定义为女孩在8岁之前或男孩在9岁之前出现青春期发育。
HP:0000828|Abnormality of the parathyroid gland|甲状旁腺异常|甲状旁腺异常。
HP:0000829|Hypoparathyroidism|甲状旁腺功能减退症|一种由甲状旁腺激素缺乏引起的疾病，其特征为低钙血症和高磷血症。
HP:0000830|Anterior hypopituitarism|前叶垂体功能减退症|一种前叶垂体功能减退的病症，其特征为一种或多种垂体激素分泌减少，包括生长激素、促甲状腺激素、促肾上腺皮质激素、催乳素、黄体生成素和卵泡刺激素。
HP:0000831|Insulin-resistant diabetes mellitus|胰岛素抵抗性糖尿病|一种与胰岛素缺乏无关的糖尿病类型，而是由于胰岛素靶组织（如肌肉、脂肪和肝细胞）对胰岛素的反应性降低所致。此类糖尿病通常伴随血糖浓度升高以及空腹和餐后血清胰岛素水平增加。
HP:0000832|Primary hypothyroidism|原发性甲状腺功能减退症|一种由于甲状腺缺陷导致的甲状腺功能减退症。
HP:0000833|obsolete Glucose intolerance|过时的葡萄糖不耐受|-
HP:0000834|Abnormality of the adrenal glands|肾上腺异常|肾上腺异常，即位于肾脏顶部的内分泌腺体异常。
HP:0000835|Adrenal hypoplasia|肾上腺发育不全|肾上腺发育不全。
HP:0000836|Hyperthyroidism|甲状腺功能亢进症|甲状腺生理功能异常，其特征为甲状腺激素甲状腺素（即T4）和/或3,3',5-三碘-L-甲状腺原氨酸两性离子（即三碘甲状腺原氨酸或T3）的过度分泌。
HP:0000837|Increased circulating gonadotropin level|循环中促性腺激素水平升高|垂体前叶促性腺激素（FSH、LH）分泌过多。
HP:0000839|Pituitary dwarfism|垂体性侏儒症|一种与垂体功能障碍相关的身材矮小类型，其身体比例正常，可能由于生长激素分泌的孤立缺陷或全垂体功能减退症（即所有前叶垂体激素的缺乏）引起。
HP:0000840|Adrenogenital syndrome|肾上腺生殖综合征|肾上腺生殖综合征，亦称先天性肾上腺皮质增生症，系因肾上腺类固醇激素合成障碍导致皮质醇缺乏所致。垂体对此反应为促肾上腺皮质激素分泌增加，进而促使肾上腺过度生成某些具有睾酮样效应的中间激素。
HP:0000841|Hyperactive renin-angiotensin system|过度活跃的肾素-血管紧张素系统|肾素-血管紧张素系统异常激活，通过容量过载和血管收缩机制共同作用导致高血压。
HP:0000842|Hyperinsulinemia|高胰岛素血症|高胰岛素血症（Hyperinsulinemia）
HP:0000843|Hyperparathyroidism|甲状旁腺功能亢进症|甲状旁腺激素（PTH）分泌过多。
HP:0000845|Elevated circulating growth hormone concentration|循环生长激素浓度升高|肢端肥大症是一种由于垂体在骨骺闭合的个体中过度分泌生长激素而导致的疾病，主要表现为身体远端部位的增大。颅骨周长增加，鼻部变宽，舌体增大，面部特征变得粗糙，下颌过度生长，牙齿间隙增大。手指和脚趾主要呈现增厚现象。
HP:0000846|Adrenal insufficiency|肾上腺功能不全|肾上腺类固醇激素（主要为皮质醇）分泌不足。
HP:0000847|Abnormality of renin-angiotensin system|肾素-血管紧张素系统异常|肾素-血管紧张素系统异常。
HP:0000848|Increased circulating renin concentration|循环肾素浓度升高|血浆肾素水平升高
HP:0000849|Adrenocortical abnormality|肾上腺皮质异常|-
HP:0000851|Congenital hypothyroidism|先天性甲状腺功能减退症|一种先天性甲状腺功能减退症。
HP:0000852|Pseudohypoparathyroidism|假性甲状旁腺功能减退症|一种以对甲状旁腺激素作用抵抗为特征的疾病，表现为低钙血症、高磷血症以及（相应地）甲状旁腺激素水平升高。
HP:0000853|Goiter|甲状腺肿|甲状腺肿大
HP:0000854|Thyroid adenoma|甲状腺腺瘤|甲状腺腺瘤的存在。
HP:0000855|Insulin resistance|胰岛素抵抗|胰岛素抵抗性增加，即胰岛素在降低血糖水平方面的效能减弱。
HP:0000857|Neonatal insulin-dependent diabetes mellitus|新生儿胰岛素依赖型糖尿病|-
HP:0000858|Irregular menstruation|月经不调|月经周期间隔时间异常高变异。
HP:0000859|Increased circulating aldosterone concentration|循环醛固酮浓度升高|肾上腺皮质过度分泌盐皮质激素醛固酮。
HP:0000860|Parathyroid hypoplasia|甲状旁腺发育不全|甲状旁腺发育不全。
HP:0000863|Central diabetes insipidus|中枢性尿崩症|一种与下丘脑抗利尿激素（AVP）释放障碍相关的尿崩症。
HP:0000864|Abnormality of the hypothalamus-pituitary axis|下丘脑-垂体轴异常|垂体异常（亦称为脑下垂体），其为一种内分泌腺体，自大脑底部下丘脑下方突出。垂体分泌的激素包括促肾上腺皮质激素（ACTH）、促甲状腺激素（TSH）、催乳素（PRL）、生长激素（GH）、内啡肽、促卵泡激素（FSH）、黄体生成素（LH）、催产素及抗利尿激素。垂体前叶的激素分泌严格受下丘脑激素调控，而垂体后叶实质上是下丘脑的延伸，因此下丘脑与垂体可视为一个功能单元。
HP:0000866|Euthyroid multinodular goiter|正常甲状腺功能的多结节性甲状腺肿|-
HP:0000867|Secondary hyperparathyroidism|继发性甲状旁腺功能亢进症|继发性甲状旁腺功能亢进症是指在低钙血症存在下，甲状旁腺激素水平高于正常值的状态。
HP:0000868|Decreased fertility in females|女性生育力下降|-
HP:0000869|Secondary amenorrhea|继发性闭经|-
HP:0000870|Increased circulating prolactin concentration|循环中催乳素浓度升高|血液中催乳素水平异常升高。催乳素是一种由垂体前叶分泌的肽类激素，在妊娠期间对乳腺发育和泌乳起重要作用。
HP:0000871|Panhypopituitarism|全垂体功能减退症|全垂体功能减退症（Panhypopituitarism），影响所有前叶垂体激素（生长激素、促甲状腺激素、促卵泡激素、促黄体生成激素、促肾上腺皮质激素和催乳素）。
HP:0000872|Hashimoto thyroiditis|桥本甲状腺炎|一种慢性自身免疫性甲状腺炎，与甲状腺功能减退相关。
HP:0000873|Diabetes insipidus|尿崩症|过度饮水状态及低渗性（稀释性）多尿。尿崩症可能由于抗利尿激素（AVP）释放障碍（中枢性或神经源性尿崩症）或肾脏对AVP反应障碍（肾源性尿崩症）所致。
HP:0000875|Episodic hypertension|阵发性高血压|-
HP:0000876|Oligomenorrhea|月经稀发|月经稀发（每年少于6次或周期间隔超过35天）。
HP:0000877|Insulin-resistant diabetes mellitus at puberty|青春期胰岛素抵抗性糖尿病|-
HP:0000878|11 pairs of ribs|11 对肋骨|仅存在11对肋骨。
HP:0000879|Short sternum|短胸骨|胸骨上下径缩短。
HP:0000882|Hypoplastic scapulae|肩胛骨发育不全|肩胛骨发育不全。
HP:0000883|Thin ribs|肋骨纤细|肋骨直径减小。
HP:0000884|Prominent sternum|胸骨突出|-
HP:0000885|Broad ribs|肋骨增宽|肋骨增宽
HP:0000886|Deformed rib cage|胸廓畸形|胸廓畸形。
HP:0000887|Cupped ribs|肋弓凹陷|宽阔、凹陷的肋骨末端。
HP:0000888|Horizontal ribs|水平肋骨|肋骨呈水平（平坦）排列，这些长而弯曲的骨骼构成胸廓，通常从第1肋至第9肋逐渐呈斜向（倾斜）排列，随后至第12肋倾斜度减小。
HP:0000889|Abnormal clavicle morphology|锁骨形态异常|锁骨异常（锁骨畸形）。
HP:0000890|Long clavicles|长锁骨|锁骨长度增加。
HP:0000891|Cervical ribs|颈肋|-
HP:0000892|Bifid ribs|分叉肋骨|双叉肋骨（Bifid rib）是指肋骨胸骨端的分裂，通常为单侧发生。双叉肋骨通常无症状，常在胸部X线检查中偶然发现。
HP:0000893|Bulging of the costochondral junction|肋软骨连接处膨出|肋软骨交界处异常外凸（突出）。
HP:0000894|Short clavicles|锁骨短缩|锁骨长度缩短。
HP:0000895|Lateral clavicle hook|锁骨外侧钩|锁骨外侧过度上凸。
HP:0000896|Rib exostoses|肋骨外生骨疣|肋骨多发局限性骨赘形成。
HP:0000897|Rachitic rosary|佝偻病串珠|肋骨与软骨交界处（即增大的肋软骨关节）出现的一串珠样突起，形似念珠。需注意，佝偻病性串珠（rachitic rosary）表现为每根肋骨上有一个珠样突起（肋软骨交界处肿胀），而在多发性肋骨骨折的情况下，同一根肋骨上会出现多个珠样突起（骨折）。
HP:0000900|Thickened ribs|肋骨增厚|肋骨增厚（直径增大）。
HP:0000902|Rib fusion|肋骨融合|相邻肋骨的完全或部分融合。
HP:0000904|Flaring of rib cage|胸廓扩张|存在宽大、凹陷的前肋端。
HP:0000905|Progressive clavicular acroosteolysis|进行性锁骨远端骨溶解|锁骨远端进行性骨吸收。
HP:0000907|Anterior rib cupping|前肋凹陷|宽阔、凹陷的前肋端。
HP:0000910|Wide-cupped costochondral junctions|宽杯状肋软骨连接处|-
HP:0000911|Flat glenoid fossa|平坦的关节盂窝|肩胛盂窝形态异常平坦，亦称肩胛盂腔，其为肩胛骨与肱骨头相连接的关节面。
HP:0000912|Sprengel anomaly|施普伦格尔畸形|先天性骨骼畸形，特征为一侧肩胛骨抬高（即一侧肩胛骨位于另一侧肩胛骨的上方）。
HP:0000913|Posterior rib fusion|后肋融合|相邻肋骨后部的完全或部分融合。
HP:0000914|Shield chest|防护胸罩|宽阔胸廓。
HP:0000915|Pectus excavatum of inferior sternum|胸骨下段凹陷畸形|漏斗胸（胸壁缺陷，以胸骨凹陷为特征），主要影响胸骨下段区域。
HP:0000916|Broad clavicles|锁骨增宽|锁骨宽度（横截面直径）增加。
HP:0000917|Superior pectus carinatum|上胸骨前凸|主要累及胸骨上部的鸡胸。
HP:0000918|Scapular exostoses|肩胛骨外生骨疣|肩胛骨上存在多发性外生骨疣。外生骨疣是一种从骨表面向外突出的良性增生。其表面覆盖有软骨。
HP:0000919|Abnormality of the costochondral junction|肋软骨连接处异常|肋软骨连接处异常。肋软骨连接处位于肋骨远端与肋软骨之间，肋软骨为透明软骨条，将肋骨与胸骨相连。
HP:0000920|Enlargement of the costochondral junction|肋软骨连接处肥大|肋软骨连接处异常增大，该连接处位于肋骨远端与肋软骨之间，肋软骨为透明软骨条，将肋骨与胸骨相连。
HP:0000921|Missing ribs|肋骨缺失|先天性肋骨缺失畸形
HP:0000922|Posterior rib cupping|后肋凹陷|宽阔、凹陷的后肋端。
HP:0000923|obsolete Beaded ribs|陈旧性串珠肋|-
HP:0000924|Abnormality of the skeletal system|骨骼系统异常|骨骼系统异常。
HP:0000925|Abnormality of the vertebral column|脊柱畸形|脊柱异常
HP:0000926|Platyspondyly|扁平椎体|椎体扁平化伴椎体终板间距减小。
HP:0000927|Abnormality of skeletal maturation|骨骼成熟异常|骨骼系统从胎儿期至青春期会经历一系列特征性的变化，包括大小、形态和钙化程度的改变。这一过程的异常可能包括骨骼成熟延迟或加速，或部分骨骼（而非全部）偏离预期的成熟模式。
HP:0000929|Abnormal skull morphology|颅骨形态异常|颅骨异常，颅骨为头部的骨性框架，由神经颅（包含八块颅骨）和内脏颅（面骨）组成，其中内脏颅包括十四块面骨，下颌骨为其最大骨。
HP:0000930|Elevated imprint of the transverse sinuses|横窦压迹增高|-
HP:0000931|Thinning and bulging of the posterior fossa bones|后颅窝骨变薄和膨出|-
HP:0000932|Abnormal posterior cranial fossa morphology|异常后颅窝形态|颅后窝（fossa cranii posterior）异常，该结构主要由枕骨（os occipitale）构成，并围绕枕骨大孔（foramen magnum）。
HP:0000933|Posterior fossa cyst at the fourth ventricle|第四脑室后颅窝囊肿|-
HP:0000934|Chondrocalcinosis|软骨钙质沉着症|影像学证据显示关节周围软组织及邻近关节的肌腱附着处（附着点/夏贝氏纤维）存在焦磷酸钙沉积所致的关节钙化。
HP:0000935|Thickened cortex of long bones|长骨皮质增厚|长骨皮质异常增厚。
HP:0000938|Osteopenia|骨质减少|骨量减少是指骨密度异常但未达到骨质疏松程度的医学术语。根据世界卫生组织的定义，骨量减少通过骨密度测定法定义为T值在-1至-2.5之间。
HP:0000939|Osteoporosis|骨质疏松症|骨质疏松症是一种以骨密度降低和骨组织微结构退化为特征的全身性骨骼疾病，从而导致骨脆性增加。根据世界卫生组织（WHO）的标准，骨质疏松症被定义为骨密度（BMD）低于年轻健康成年人平均值2.5个标准差或更多（T值低于-2.5 SD）。
HP:0000940|Abnormal diaphysis morphology|异常骨干形态|骨干结构或形态异常，即长骨主体或中段（骨干）的结构或形态异常。
HP:0000941|Short diaphyses|短骨干|-
HP:0000943|Dysostosis multiplex|多发性骨发育不良|-
HP:0000944|Abnormal metaphysis morphology|异常干骺端形态|一种或多种干骺端异常，即长骨中较宽的部分，邻近骨骺生长板并在儿童期生长。
HP:0000946|Hypoplastic ilia|髂骨发育不全|髂骨发育不全。
HP:0000947|Dumbbell-shaped long bone|哑铃形长骨|长骨异常外观呈哑铃状，即长骨缩短并显示干骺端增宽（扩张）。
HP:0000951|Abnormality of the skin|皮肤异常|皮肤异常。
HP:0000952|Jaundice|黄疸|皮肤黄染，由于胆红素所致，其原因是血液中胆红素浓度升高。
HP:0000953|Hyperpigmentation of the skin|皮肤色素沉着过度|皮肤色素沉着与黑色素生成和沉积增加相关。
HP:0000954|Single transverse palmar crease|单横掌褶|远端和近端掌横纹融合为单一掌横纹。
HP:0000956|Acanthosis nigricans|黑棘皮病|一种皮肤病，其特征为增厚、色素沉着的斑块，通常发生于间擦部位和颈部。
HP:0000957|Cafe-au-lait spot|咖啡牛奶斑|咖啡牛奶斑是一种色素沉着性病变，其颜色可从浅棕色至深棕色不等，边界光滑，成人的直径通常为1.5厘米或更大，儿童的直径通常为0.5厘米或更大。
HP:0000958|Dry skin|皮肤干燥症|皮肤表现为天然或正常水分缺乏。
HP:0000960|Sacral dimple|骶骨小凹|由于皮肤与臀间沟下方结构（骨骼）的牵拉导致的皮肤凹陷。
HP:0000961|Cyanosis|发绀|皮肤和黏膜因血液循环不良或动脉及毛细血管血氧不足而呈现的蓝紫色改变。
HP:0000962|Hyperkeratosis|角化过度|角化过度是指表皮增厚，主要涉及皮肤的外层，即角质层。角质层由大量多面体、板状的外壳组成，这些外壳充满角蛋白，是由颗粒层迁移上来的死亡细胞构成。
HP:0000963|Thin skin|表皮变薄|皮肤厚度减少，通常伴随皮肤柔韧性和弹性的丧失。
HP:0000964|Eczematoid dermatitis|湿疹样皮炎|湿疹是一种皮炎，其特征为位于屈侧表面的鳞屑性、瘙痒性、红斑性皮损。
HP:0000965|Cutis marmorata|皮肤大理石样变|皮肤网状变色，伴有紫绀（呈红蓝色）区域围绕苍白中心区域，由于毛细血管扩张及血管内血液淤滞所致。大理石样皮肤通常发生于下肢、上肢及躯干，寒冷天气时症状常更为严重。
HP:0000966|Hypohidrosis|少汗症|Hypohidrosis.
HP:0000967|Petechiae|瘀点|瘀点是指毛细血管破裂后，皮肤或黏膜下发生浅表性出血，形成针尖大小的红/紫色斑点，类似于皮疹。该术语指的是异常增加的易发生瘀点的倾向。
HP:0000968|Ectodermal dysplasia|外胚层发育不良|外胚层发育不良是一组以皮肤、毛发、指甲、牙齿或汗腺发育异常为特征的疾病。
HP:0000969|Edema|水肿|皮下或体腔内一处或多处异常液体积聚。
HP:0000970|Anhidrosis|无汗症|无汗症 (Anhidrosis)
HP:0000971|Abnormal sweat gland morphology|异常汗腺形态|汗腺结构异常。
HP:0000972|Palmoplantar hyperkeratosis|掌跖角化过度症|掌跖部局限性皮肤异常增厚。
HP:0000973|Cutis laxa|皮肤松弛症|皮肤皱褶、冗余、弹性减退及松弛。
HP:0000974|Hyperextensible skin|皮肤过度伸展性|皮肤弹性过度，可被拉伸超出正常范围，随后恢复至初始状态。
HP:0000975|Hyperhidrosis|多汗症|Hyperhidrosis in the absence of appropriate stimuli such as elevated ambient temperature and humidity.
HP:0000976|obsolete Eczematoid dermatitis|陈旧性湿疹样皮炎|-
HP:0000977|Soft skin|皮肤柔软|触诊时皮肤主观感觉柔软度增加。
HP:0000978|Bruising susceptibility|瘀斑易感性|瘀斑（ecchymosis）是指由于血管破裂导致血液渗入组织而引起的皮肤变色。该术语指的是异常增加的易瘀伤倾向。相应的表型异常通常通过病史采集引出，表现为频繁出现瘀斑或在无明显创伤的情况下出现瘀伤的报告。
HP:0000979|Purpura|紫癜|紫癜（源自拉丁语：purpura，意为紫色）是指皮肤上出现红色或紫色变色斑块，且在施加压力时不会褪色。其由皮下出血引起。该术语指异常增加的易发生紫癜的倾向。紫癜的病灶大于瘀点。
HP:0000980|Pallor|苍白|皮肤苍白异常。
HP:0000982|Palmoplantar keratoderma|掌跖角化症|掌跖皮肤角化过度症
HP:0000987|Atypical scarring of skin|皮肤非典型瘢痕形成|非典型瘢痕皮肤。
HP:0000988|Skin rash|皮肤皮疹|皮肤红斑性皮疹
HP:0000989|Pruritus|瘙痒症|瘙痒症是一种令人产生搔抓欲望的皮肤异常感觉。该术语特指个体对瘙痒感受的异常增强倾向。
HP:0000991|Xanthomatosis|黄瘤病|皮肤多发性黄色瘤（Xanthomata）。黄色瘤是皮肤中富含脂质的黄色、坚硬的结节。
HP:0000992|Cutaneous photosensitivity|皮肤光敏性|皮肤对光线的敏感性增加。光敏性可能导致暴露于阳光下后出现皮疹（称为光敏性皮炎）。光敏性可通过光试验进行诊断，该试验将光线照射于皮肤的小面积区域。
HP:0000993|Molluscoid pseudotumors|软疣样假瘤|蓝灰色、海绵状结节，与压力点和易受创伤区域（如肘部和膝盖）的瘢痕相关。
HP:0000995|Melanocytic nevus|黑素细胞痣|椭圆形或圆形，有色（通常为中至深棕色、红棕色或肉色）的皮损。典型的黑素细胞痣直径小于6毫米，但可能更小或更大。
HP:0000996|Facial capillary hemangioma|面部毛细血管瘤|血管瘤，一种发生于面部的血管内皮细胞良性肿瘤，具有微小的内皮间隙。
HP:0000997|Axillary freckling|腋窝雀斑|腋窝区域（腋下）出现数量增多的雀斑，即皮肤上因黑色素沉积而形成的较周围皮肤颜色更深的小圆形斑点。
HP:0000998|Hypertrichosis|多毛症|多毛症是指毛发在数量或部位上异常增多的现象。
HP:0000999|Pyoderma|脓皮病|任何与脓液产生相关的皮肤疾病表现。
HP:0001000|Abnormality of skin pigmentation|皮肤色素沉着异常|皮肤色素沉着异常。
HP:0001001|Abnormality of subcutaneous fat tissue|皮下脂肪组织异常|-
HP:0001002|obsolete Decreased subcutaneous fat|皮下脂肪减少|-
HP:0001003|Multiple lentigines|多发性雀斑样痣|存在异常大量的雀斑样痣（单数：lentigo），即平坦的、棕褐色至棕色的椭圆形斑点。
HP:0001004|Lymphedema|淋巴水肿|局部淋巴水肿（Localized Lymphedema）
HP:0001005|Dermatological manifestations of systemic disorders|系统性疾病的皮肤表现|-
HP:0001006|obsolete Hypotrichosis|过时性稀毛症|-
HP:0001007|Hirsutism|多毛症|多毛症（Hirsutism），特指女性出现男性型体毛（雄激素依赖性毛发）异常增多的现象。
HP:0001008|Accumulation of melanosomes in melanocytes|黑素细胞中黑素小体的积聚|-
HP:0001009|Telangiectasia|毛细血管扩张症|毛细血管扩张症是指位于皮肤或黏膜表面附近的小型扩张血管，直径在0.5至1毫米之间。毛细血管扩张症尤其常见于舌部、唇部、腭部、手指、面部、结膜、躯干、甲床及指尖等部位。
HP:0001010|Hypopigmentation of the skin|皮肤色素减退|皮肤色素减退与黑色素生成和沉积减少相关。
HP:0001011|obsolete Diaphoresis (with pheochromocytoma)|过时的术语：多汗症（伴嗜铬细胞瘤）|-
HP:0001012|Multiple lipomas|多发性脂肪瘤|多发性脂肪瘤（一种由脂肪组织构成的良性组织）的存在。
HP:0001013|Eruptive xanthomas|发疹性黄色瘤|发疹性黄色瘤表现为黄橙色至红棕色的丘疹，常伴有红斑性晕轮。它们成批出现在臀部、四肢伸肌表面及屈曲皱褶处。急性期可伴有不同程度的瘙痒和疼痛。
HP:0001014|Angiokeratoma|血管角化瘤|血管角化瘤是一种角化过度性丘疹，其组织学特征为浅表扩张的血管伴表皮增生。临床上，血管角化瘤表现为小而隆起的暗红色斑点。
HP:0001015|Prominent superficial veins|显著的浅表静脉|浅表静脉（即位于皮肤下方的静脉）比正常情况下更为明显或显著的一种状况。
HP:0001017|Anemic pallor|贫血性苍白|一种继发于贫血的苍白类型。
HP:0001018|Abnormal palmar dermatoglyphics|异常掌纹皮纹学|皮纹异常，即手掌皮肤嵴纹模式异常。
HP:0001019|Erythroderma|红皮病|一种累及几乎全部皮肤表面的炎症性剥脱性皮肤病。红皮病突然发生。斑片状红斑可能泛化并扩散至大部分皮肤。鳞屑可能在2-6天内出现，并伴有皮肤发红、干燥、发热、不适和发热。
HP:0001022|Albinism|白化病|皮肤、毛发和眼睛（虹膜和视网膜）色素沉着量的异常减少（减少或缺失）。
HP:0001024|Skin dimple over apex of long bone angulation|长骨成角顶点处皮肤凹陷|-
HP:0001025|Urticaria|荨麻疹|隆起的、边界清晰的红斑和水肿区域，累及真皮和表皮。荨麻疹伴有剧烈瘙痒，且受压后完全变白。
HP:0001026|Penetrating foot ulcers|穿透性足部溃疡|-
HP:0001027|Soft, doughy skin|柔软、面团样皮肤|皮肤质地异常柔软（可能具有丝滑感），且具有类似面团的可塑性一致性。
HP:0001028|Hemangioma|血管瘤|血管瘤是一种良性肿瘤，其特征为由良性内皮细胞排列的充满血液的腔隙。以较大内皮腔隙（海绵状）为特征的血管瘤称为海绵状血管瘤（与具有较小内皮腔隙的血管瘤相对，后者称为毛细血管瘤）。
HP:0001029|Poikiloderma|皮肤异色病|异色性皮病是指皮肤出现以下特征的斑块：(1) 网状色素减退和色素沉着，(2) 继发于表皮萎缩的皱褶，(3) 毛细血管扩张。
HP:0001030|Fragile skin|脆弱皮肤|皮肤脆性增加（Cutis Fragilitas）或皮肤易裂性（Dermatosparaxis）。
HP:0001031|Subcutaneous lipoma|皮下脂肪瘤|皮下脂肪瘤的存在。
HP:0001032|Absent distal interphalangeal creases|远端指间关节皱褶缺失|手指远端指间关节屈曲皱褶缺失。
HP:0001033|Facial flushing after alcohol intake|酒精摄入后面部潮红|-
HP:0001034|Hypermelanotic macule|高色素性斑疹|正常皮肤颜色改变形成的局限性色素沉着区域，无任何大小的隆起或凹陷。
HP:0001036|Parakeratosis|角化不全|表皮角质形成细胞异常形成，其特征为细胞核持续存在、角蛋白形成不完全以及角质形成细胞湿润和肿胀。
HP:0001038|Warfarin-induced skin necrosis|华法林诱导的皮肤坏死|-
HP:0001039|Atheroeruptive xanthoma|动脉粥样硬化性黄瘤|-
HP:0001040|Multiple pterygia|多发性翼状胬肉|-
